Município,IVAF,IPA,IPOPR,IPROPR,IFAREA,IFAMB,IFIGUAL
721 - Jardim Olinda,"0,0001300212229","0,0004436392715","0,000266347398","0,0001648041461","0,0006453047997","0,00074676258","0,002506265664"
606 - Jataizinho,"0,0005360003766","0,0007410250297","0,0005366116694","0,001357004352","0,0007977504288",0,"0,002506265664"
434 - Jesuitas,"0,0009878558824","0,003297317882","0,001913392704","0,003273290858","0,001247882797",0,"0,002506265664"
511 - Joaquim Tavora,"0,001509329581","0,002858765228","0,001642475621","0,001330705818","0,001446457363","0,00381500957","0,002506265664"
522 - Jundiai do Sul,"0,0001536342461","0,001368124141","0,0009511474481","0,0007258395369","0,001602405189",0,"0,002506265664"
844 - Juranda,"0,001037418279","0,002371807635","0,001176367674","0,00185141679","0,001724731924",0,"0,002506265664"
834 - Jussara,"0,001444299654","0,001742210264","0,0004478292034","0,001255316687","0,001039602142",0,"0,002506265664"
647 - Kalore,"0,0003154486669","0,0008907583956","0,0008408221779","0,001551613503","0,0009660059756",0,"0,002506265664"
127 - Lapa,"0,004512223494","0,007477463094","0,01156130495","0,01300900812","0,01049878589","0,0007580798267","0,002506265664"
455 - Laranjal,"0,0002059677018","0,001196318102","0,00282602423","0,00120622609","0,002794903243","0,000053345498","0,002506265664"
406 - Laranjeiras do Sul,"0,001304616586","0,002975508923","0,003751059188","0,004074519526","0,003376568121",0,"0,002506265664"
537 - Leopolis,"0,0004381281882","0,001534490045","0,001138504564","0,001237784331","0,001724131548",0,"0,002506265664"
656 - Lidianopolis,"0,0002266116757","0,0007702730119","0,001257969206","0,0009151889813","0,0007645295894",0,"0,002506265664"
444 - Lindoeste,"0,0003044871923","0,001689953806","0,001943422068","0,001795313251","0,001731836381","0,0010600616","0,002506265664"
738 - Loanda,"0,001130279104","0,001909979388","0,001257969206","0,001726937062","0,003612215943","0,0005754115982","0,002506265664"
635 - Lobato,"0,000520588592","0,001169033258","0,000193232426","0,0008275272015","0,001203605021","0,001844870681","0,002506265664"
601 - Londrina,"0,03370042486","0,009250011122","0,008604718266","0,007412680101","0,008281745139","0,009294321192","0,002506265664"
846 - Luiziana,"0,001347155821","0,00359275754","0,001670546547","0,00169187235","0,004544000451","0,00816766555","0,002506265664"
652 - Lunardelli,"0,0002069951649","0,0006071146936","0,001022303983","0,001446419367","0,0009856683097","0,001635183846","0,002506265664"
622 - Lupionopolis,"0,0003185968324","0,0005200779169","0,0003348926842","0,0004786333178","0,0006083816378","0,002759738151","0,002506265664"
304 - Mallet,"0,001491788911","0,002435355058","0,003527144586","0,005813729237","0,003764111227","0,002324050948","0,002506265664"
